Overall Rank,Crew,Heat,Time (MM:SS.S),Time (Seconds),Race Number,Lane,Gap to Winner,Gap to Galway,Position in Heat
1,Enniskillen A,Final 1,3:12.9,192.9,145,4,0.0,-27.2,1
2,Castleconnel,Final 1,3:17.5,197.5,145,6,4.6,-22.6,2
3,Methodist,Final 2,3:20.0,200.0,146,5,7.1,-20.1,1
4,St Josephs,Final 1,3:21.9,201.9,145,3,9.0,-18.2,3
5,Col Iognaid,Final 1,3:30.9,210.9,145,1,18.0,-9.2,4
6,St. Michaels,Final 2,3:33.5,213.5,146,3,20.6,-6.6,2
7,Pres Cork,Final 2,3:35.2,215.2,146,1,22.3,-4.9,3
8,Enniskillen B,Final 1,3:39.6,219.6,145,2,26.7,-0.5,5
9,Galway,Final 2,3:40.1,220.1,146,4,27.2,0.0,4
10,Athlone,Final 2,3:42.1,222.1,146,2,29.2,2.0,5
DNS,Blackrock,Final 1,DNS,999.0,145,5,,,DNS
